#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
Cytidine monophosphate N-acetylneuraminic acid-13C6	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	81261.682097	natural abundance corrected peak area	0	protein normalized	uMol/g	80177.0272420099	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	48657.12678	natural abundance corrected peak area	0	protein normalized	uMol/g	45283.1834048905	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	22438.1599589	natural abundance corrected peak area	0	protein normalized	uMol/g	22811.4354156906	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	18484.4903302	natural abundance corrected peak area	0	protein normalized	uMol/g	17471.6100555958	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	17396.297498	natural abundance corrected peak area	0	protein normalized	uMol/g	16099.4971955339	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	18757.5676719	natural abundance corrected peak area	0	protein normalized	uMol/g	18090.1909899514	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	12329.7844646	natural abundance corrected peak area	0	protein normalized	uMol/g	11347.9327207649	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	27216.2829333	natural abundance corrected peak area	0	protein normalized	uMol/g	25361.4371060974	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	33179.3343004	natural abundance corrected peak area	0	protein normalized	uMol/g	34127.9496540554	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	17296.3391698	natural abundance corrected peak area	0	protein normalized	uMol/g	17940.2023634483	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	3858.57558506	natural abundance corrected peak area	0	protein normalized	uMol/g	3753.65098033728	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	14980.9914601	natural abundance corrected peak area	0	protein normalized	uMol/g	19299.2579793222	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	7493.76055916	natural abundance corrected peak area	0	protein normalized	uMol/g	8132.62365440465	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	23684.3115929	natural abundance corrected peak area	0	protein normalized	uMol/g	25824.6056925995	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	78149.671484	natural abundance corrected peak area	0	protein normalized	uMol/g	83808.1744333038	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	50949.7045953	natural abundance corrected peak area	0	protein normalized	uMol/g	55802.3439614875	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	31628.6931101	natural abundance corrected peak area	0	protein normalized	uMol/g	34176.2954448693	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	16942.2479668	natural abundance corrected peak area	0	protein normalized	uMol/g	17949.6347935757	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	4617.19980591	natural abundance corrected peak area	0	protein normalized	uMol/g	6604.16110090647	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	11065.6773012	natural abundance corrected peak area	0	protein normalized	uMol/g	12007.0122004116	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	13688.8713315	natural abundance corrected peak area	0	protein normalized	uMol/g	14517.8976094218	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	9647.04281983	natural abundance corrected peak area	0	protein normalized	uMol/g	10063.0921960006	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C7	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	20868.7450569	natural abundance corrected peak area	0	protein normalized	uMol/g	21868.1624356733	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	25445.3254564	natural abundance corrected peak area	0	protein normalized	uMol/g	26828.9012627297	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	23692.5692481	natural abundance corrected peak area	0	protein normalized	uMol/g	23125.8706777334	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1302.25460646	natural abundance corrected peak area	0	protein normalized	uMol/g	1658.82916777558	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	26846.5545875	natural abundance corrected peak area	0	protein normalized	uMol/g	25824.1076324753	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	6956.58676511	natural abundance corrected peak area	0	protein normalized	uMol/g	7151.31901403984	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	21110.7437339	natural abundance corrected peak area	0	protein normalized	uMol/g	21833.7654182649	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	91080.401338	natural abundance corrected peak area	0	protein normalized	uMol/g	90685.2930705614	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	49255.1502863	natural abundance corrected peak area	0	protein normalized	uMol/g	50347.2435477701	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	27530.9272803	natural abundance corrected peak area	0	protein normalized	uMol/g	28562.0561078483	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	23918.1551833	natural abundance corrected peak area	0	protein normalized	uMol/g	23294.6459391565	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	9551.92029351	natural abundance corrected peak area	0	protein normalized	uMol/g	9125.6353582312	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	14434.1357309	natural abundance corrected peak area	0	protein normalized	uMol/g	14201.9411800722	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	17157.160377	natural abundance corrected peak area	0	protein normalized	uMol/g	16926.6867450814	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	15553.6217217	natural abundance corrected peak area	0	protein normalized	uMol/g	14948.2059280858	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C8	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	25239.7253135	natural abundance corrected peak area	0	protein normalized	uMol/g	24986.7466093705	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	17413.0561745	natural abundance corrected peak area	0	protein normalized	uMol/g	18697.0463657918	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	23210.3993329	natural abundance corrected peak area	0	protein normalized	uMol/g	23484.5712010885	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	4189.15215981	natural abundance corrected peak area	0	protein normalized	uMol/g	3901.09427851355	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	24254.4989424	natural abundance corrected peak area	0	protein normalized	uMol/g	24762.3762055719	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	13528.8510032	natural abundance corrected peak area	0	protein normalized	uMol/g	12858.6062921704	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	32469.0772719	natural abundance corrected peak area	0	protein normalized	uMol/g	31424.3034538379	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	103679.455286	natural abundance corrected peak area	0	protein normalized	uMol/g	103147.896415049	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	47177.2048905	natural abundance corrected peak area	0	protein normalized	uMol/g	47999.8950121713	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	36146.7359845	natural abundance corrected peak area	0	protein normalized	uMol/g	35506.0096258972	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	21576.7354185	natural abundance corrected peak area	0	protein normalized	uMol/g	22057.9681257293	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	8635.53260986	natural abundance corrected peak area	0	protein normalized	uMol/g	8811.2920244539	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	19231.2663174	natural abundance corrected peak area	0	protein normalized	uMol/g	18819.0954627987	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	14820.084869	natural abundance corrected peak area	0	protein normalized	uMol/g	15254.4788731368	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	26458.9884828	natural abundance corrected peak area	0	protein normalized	uMol/g	25327.0531704588	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C9	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	30981.0650296	natural abundance corrected peak area	0	protein normalized	uMol/g	30568.0494936138	spectrometer peak area
D-Erythrose 4-phosphate-13C0	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	3.36269617927562	calculated from standard	uM	605826.010137	natural abundance corrected peak area	0.85819208556789	protein normalized	uMol/g	580216.291862096	spectrometer peak area
D-Erythrose 4-phosphate-13C0	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.871672235407656	calculated from standard	uM	157041.161131	natural abundance corrected peak area	0.244688802208643	protein normalized	uMol/g	150518.837957053	spectrometer peak area
D-Erythrose 4-phosphate-13C0	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.409418281197109	calculated from standard	uM	73761.1221922	natural abundance corrected peak area	0.488343438837025	protein normalized	uMol/g	70715.391493367	spectrometer peak area
D-Erythrose 4-phosphate-13C0	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.643127282063701	calculated from standard	uM	121309.404081	natural abundance corrected peak area	0.201107268887037	protein normalized	uMol/g	116356.752618577	spectrometer peak area
D-Erythrose 4-phosphate-13C0	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.296717677499568	calculated from standard	uM	55968.1506937	natural abundance corrected peak area	0.183669839362338	protein normalized	uMol/g	53721.5182722064	spectrometer peak area
D-Erythrose 4-phosphate-13C0	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.593343329912263	calculated from standard	uM	111918.943224	natural abundance corrected peak area	0.307613217503355	protein normalized	uMol/g	107201.995107487	spectrometer peak area
D-Erythrose 4-phosphate-13C0	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.903553558558181	calculated from standard	uM	170432.116318	natural abundance corrected peak area	0.111592810192114	protein normalized	uMol/g	163525.408384602	spectrometer peak area
D-Erythrose 4-phosphate-13C0	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	1.27195808471551	calculated from standard	uM	239922.145392	natural abundance corrected peak area	0.19382066881563	protein normalized	uMol/g	230478.073952628	spectrometer peak area
D-Erythrose 4-phosphate-13C0	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.725518367331081	calculated from standard	uM	136850.361111	natural abundance corrected peak area	0.203246517655759	protein normalized	uMol/g	131167.289914935	spectrometer peak area
D-Erythrose 4-phosphate-13C0	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.462590840416643	calculated from standard	uM	87255.8523784	natural abundance corrected peak area	0.171607995893318	protein normalized	uMol/g	83719.6296121672	spectrometer peak area
D-Erythrose 4-phosphate-13C0	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.529574830164803	calculated from standard	uM	99890.6575032	natural abundance corrected peak area	0.258195018204227	protein normalized	uMol/g	95751.6038485637	spectrometer peak area
D-Erythrose 4-phosphate-13C0	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.474910476423464	calculated from standard	uM	89579.634535	natural abundance corrected peak area	0.220608063555999	protein normalized	uMol/g	85829.6167675169	spectrometer peak area
D-Erythrose 4-phosphate-13C0	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.420376318733007	calculated from standard	uM	72357.8587369	natural abundance corrected peak area	0.203058444573004	protein normalized	uMol/g	69425.1318595843	spectrometer peak area
D-Erythrose 4-phosphate-13C0	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.305660545891937	calculated from standard	uM	52612.2467311	natural abundance corrected peak area	0.156110730690361	protein normalized	uMol/g	50554.8281211239	spectrometer peak area
D-Erythrose 4-phosphate-13C0	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.319096316899861	calculated from standard	uM	54924.8975092	natural abundance corrected peak area	0.114900785295898	protein normalized	uMol/g	52689.5813554097	spectrometer peak area
D-Erythrose 4-phosphate-13C1	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.107481970352753	calculated from standard	uM	19364.0370075	natural abundance corrected peak area	0.027430422310066	protein normalized	uMol/g	44780.4829898144	spectrometer peak area
D-Erythrose 4-phosphate-13C1	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0752785899905529	calculated from standard	uM	13562.2504655	natural abundance corrected peak area	0.0211315988608143	protein normalized	uMol/g	19896.6447775295	spectrometer peak area
D-Erythrose 4-phosphate-13C1	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0351524207210659	calculated from standard	uM	6333.08799152	natural abundance corrected peak area	0.0419288898585032	protein normalized	uMol/g	9311.7857570125	spectrometer peak area
D-Erythrose 4-phosphate-13C1	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0723733365783837	calculated from standard	uM	13651.3666525	natural abundance corrected peak area	0.0226312962697164	protein normalized	uMol/g	18460.3383588516	spectrometer peak area
D-Erythrose 4-phosphate-13C1	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0498595370066483	calculated from standard	uM	9404.71799396	natural abundance corrected peak area	0.0308633217604805	protein normalized	uMol/g	11538.2464110641	spectrometer peak area
D-Erythrose 4-phosphate-13C1	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0299947368750835	calculated from standard	uM	5657.7348798	natural abundance corrected peak area	0.0155504866291752	protein normalized	uMol/g	10288.8674044507	spectrometer peak area
D-Erythrose 4-phosphate-13C1	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.261716805654366	calculated from standard	uM	49366.1373376	natural abundance corrected peak area	0.0323231683842608	protein normalized	uMol/g	55232.1012605251	spectrometer peak area
D-Erythrose 4-phosphate-13C1	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.279083521966376	calculated from standard	uM	52641.9212538	natural abundance corrected peak area	0.0425266803465799	protein normalized	uMol/g	61475.5449442555	spectrometer peak area
D-Erythrose 4-phosphate-13C1	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.062709870599228	calculated from standard	uM	11828.602587	natural abundance corrected peak area	0.017567526055643	protein normalized	uMol/g	17348.3630794815	spectrometer peak area
D-Erythrose 4-phosphate-13C1	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0615619511184718	calculated from standard	uM	11612.0771308	natural abundance corrected peak area	0.0228377264132774	protein normalized	uMol/g	15021.8691355112	spectrometer peak area
D-Erythrose 4-phosphate-13C1	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0375802727310935	calculated from standard	uM	7088.55092507	natural abundance corrected peak area	0.0183223194329401	protein normalized	uMol/g	11166.2052004636	spectrometer peak area
D-Erythrose 4-phosphate-13C1	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0330354349007535	calculated from standard	uM	6231.28427783	natural abundance corrected peak area	0.0153458044915545	protein normalized	uMol/g	9887.4817861467	spectrometer peak area
